sample_id,patient_id,contrast
V056_d22-d1,V056,d22_d1
V057_d22-d1,V057,d22_d1
V058_d22-d1,V058,d22_d1
V061_d22-d1,V061,d22_d1
V063_d22-d1,V063,d22_d1
V064_d22-d1,V064,d22_d1
V066_d22-d1,V066,d22_d1
V067_d22-d1,V067,d22_d1
V068_d22-d1,V068,d22_d1
V070_d22-d1,V070,d22_d1
V071_d22-d1,V071,d22_d1
V073_d22-d1,V073,d22_d1
V077_d22-d1,V077,d22_d1
V140_d22-d1,V140,d22_d1
V141_d22-d1,V141,d22_d1
V142_d22-d1,V142,d22_d1
V143_d22-d1,V143,d22_d1
V145_d22-d1,V145,d22_d1
V147_d22-d1,V147,d22_d1
V148_d22-d1,V148,d22_d1
V002_d23-d22,V002,d23_d22
V004_d23-d22,V004,d23_d22
V005_d23-d22,V005,d23_d22
V006_d23-d22,V006,d23_d22
V007_d23-d22,V007,d23_d22
V008_d23-d22,V008,d23_d22
V009_d23-d22,V009,d23_d22
V011_d23-d22,V011,d23_d22
V013_d23-d22,V013,d23_d22
V015_d23-d22,V015,d23_d22
V016_d23-d22,V016,d23_d22
V017_d23-d22,V017,d23_d22
V019_d23-d22,V019,d23_d22
V020_d23-d22,V020,d23_d22
V021_d23-d22,V021,d23_d22
V022_d23-d22,V022,d23_d22
V024_d23-d22,V024,d23_d22
V025_d23-d22,V025,d23_d22
V026_d23-d22,V026,d23_d22
V027_d23-d22,V027,d23_d22
V028_d23-d22,V028,d23_d22
V029_d23-d22,V029,d23_d22
V030_d23-d22,V030,d23_d22
V031_d23-d22,V031,d23_d22
V033_d23-d22,V033,d23_d22
V034_d23-d22,V034,d23_d22
V036_d23-d22,V036,d23_d22
V037_d23-d22,V037,d23_d22
V039_d23-d22,V039,d23_d22
V041_d23-d22,V041,d23_d22
V043_d23-d22,V043,d23_d22
V045_d23-d22,V045,d23_d22
V048_d23-d22,V048,d23_d22
V049_d23-d22,V049,d23_d22
V050_d23-d22,V050,d23_d22
V051_d23-d22,V051,d23_d22
V054_d23-d22,V054,d23_d22
V056_d23-d22,V056,d23_d22
V057_d23-d22,V057,d23_d22
V058_d23-d22,V058,d23_d22
V061_d23-d22,V061,d23_d22
V063_d23-d22,V063,d23_d22
V064_d23-d22,V064,d23_d22
V066_d23-d22,V066,d23_d22
V067_d23-d22,V067,d23_d22
V068_d23-d22,V068,d23_d22
V070_d23-d22,V070,d23_d22
V071_d23-d22,V071,d23_d22
V073_d23-d22,V073,d23_d22
V077_d23-d22,V077,d23_d22
V140_d23-d22,V140,d23_d22
V141_d23-d22,V141,d23_d22
V142_d23-d22,V142,d23_d22
V143_d23-d22,V143,d23_d22
V145_d23-d22,V145,d23_d22
V147_d23-d22,V147,d23_d22
V148_d23-d22,V148,d23_d22
